nam,track,dat,genre,imag
Snarky Puppy,Bigly Strictness,2021-10-03 09:39:33.305,contemporary jazz,https://i.scdn.co/image/ab67616d0000b273d130f8b7d4a46a1b4379e78b
Snarky Puppy,Coven,2021-10-03 09:46:11.416,contemporary jazz,https://i.scdn.co/image/ab67616d0000b273d130f8b7d4a46a1b4379e78b
Snarky Puppy,Bling Bling,2021-10-03 09:52:06.350,contemporary jazz,https://i.scdn.co/image/ab67616d0000b273d130f8b7d4a46a1b4379e78b
Snarky Puppy,Xavi,2021-10-03 10:01:38.334,contemporary jazz,https://i.scdn.co/image/ab67616d0000b273d130f8b7d4a46a1b4379e78b
Snarky Puppy,While We're Young,2021-10-03 10:04:19.333,contemporary jazz,https://i.scdn.co/image/ab67616d0000b273d130f8b7d4a46a1b4379e78b
Snarky Puppy,Bad Kids To The Back,2021-10-03 10:10:05.344,contemporary jazz,https://i.scdn.co/image/ab67616d0000b273d130f8b7d4a46a1b4379e78b
Snarky Puppy,Even Us,2021-10-03 10:20:39.949,contemporary jazz,https://i.scdn.co/image/ab67616d0000b273d130f8b7d4a46a1b4379e78b
Snarky Puppy,Sing to the Moon,2021-10-03 10:30:55.342,contemporary jazz,https://i.scdn.co/image/ab67616d0000b2737ae2a49af23557780916c301
Snarky Puppy,Don't You Know,2021-10-03 10:41:39.155,contemporary jazz,https://i.scdn.co/image/ab67616d0000b2737ae2a49af23557780916c301
Snarky Puppy,I Remember,2021-10-03 10:48:12.759,contemporary jazz,https://i.scdn.co/image/ab67616d0000b2737ae2a49af23557780916c301
Snarky Puppy,Somebody Home,2021-10-03 10:54:42.292,contemporary jazz,https://i.scdn.co/image/ab67616d0000b2737ae2a49af23557780916c301
Native Construct,Mute,2021-10-03 12:40:17.162,djent,https://i.scdn.co/image/ab67616d0000b27328e32ee7aa94ac26ba6cf004
Native Construct,The Spark of the Archon,2021-10-03 12:49:08.100,djent,https://i.scdn.co/image/ab67616d0000b27328e32ee7aa94ac26ba6cf004
Native Construct,Your Familiar Face,2021-10-03 12:58:10.250,djent,https://i.scdn.co/image/ab67616d0000b27328e32ee7aa94ac26ba6cf004
Haken,Pareidolia,2021-10-03 13:12:20.501,djent,https://i.scdn.co/image/ab67616d0000b273817a9af094d11b2b6936f0ba
Haken,Somebody,2021-10-03 13:21:21.060,djent,https://i.scdn.co/image/ab67616d0000b273817a9af094d11b2b6936f0ba
Haken,The Path Unbeaten,2021-10-03 13:23:33.252,djent,https://i.scdn.co/image/ab67616d0000b273817a9af094d11b2b6936f0ba
Haken,Nobody,2021-10-03 13:28:26.319,djent,https://i.scdn.co/image/ab67616d0000b273817a9af094d11b2b6936f0ba
Haken,Messiah Complex iii: Marigold,2021-10-03 13:30:51.317,djent,https://i.scdn.co/image/ab67616d0000b273774e1a80566840638170eab7
Kingcrow,The Moth,2021-10-03 13:35:14.007,italian progressive metal,https://i.scdn.co/image/ab67616d0000b273015af75f743cbb940846707b
Evergrey,Forever Outsider,2021-10-03 13:39:23.845,melodic metal,https://i.scdn.co/image/ab67616d0000b273a69ccc37cfb9f449c6d39774
Scale The Summit,Atlas Novus,2021-10-03 13:44:31.504,djent,https://i.scdn.co/image/ab67616d0000b273ec1d8cc0240bc358e98dca03
Thank You Scientist,Mr. Invisible,2021-10-03 13:52:07.488,progressive jazz fusion,https://i.scdn.co/image/ab67616d0000b2731c92b75b466f9a8982207fa5
Haken,Premonition - remastered 2017,2021-10-03 13:56:23.103,djent,https://i.scdn.co/image/ab67616d0000b2737e5fa8108d75ce9808af1d13
Devin Townsend,Daddy,2021-10-03 14:01:34.777,canadian metal,https://i.scdn.co/image/ab67616d0000b273542eccdde77fb44412d09fa6
Haken,The Path,2021-10-03 14:04:35.021,djent,https://i.scdn.co/image/ab67616d0000b273817a9af094d11b2b6936f0ba
Haken,Atlas Stone,2021-10-03 14:12:08.710,djent,https://i.scdn.co/image/ab67616d0000b273817a9af094d11b2b6936f0ba
Haken,Cockroach King,2021-10-03 14:20:23.236,djent,https://i.scdn.co/image/ab67616d0000b273817a9af094d11b2b6936f0ba
Metallica,"Broken, Beat & Scarred",2021-10-03 14:29:26.751,hard rock,https://i.scdn.co/image/ab67616d0000b273f5802466e1bc84cdf51d97e2
Metallica,"Broken, Beat & Scarred",2021-10-03 14:35:52.677,hard rock,https://i.scdn.co/image/ab67616d0000b273f5802466e1bc84cdf51d97e2
Shattered Skies,As the Sea Divides,2021-10-03 15:03:19.469,djent,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Absent Distance,Hyperwill Crisis,2021-10-03 15:07:10.071,djent,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Aevum Nova,Puerile,2021-10-03 15:10:56.559,instrumental djent,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Aleksandra Radosavljevic,Quark,2021-10-03 15:15:52.323,none,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Orion,Relatively Minor,2021-10-03 15:19:44.410,none,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Scartographer,Massevectu: The Purge,2021-10-03 15:24:00.348,instrumental djent,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Sithu Aye,Orion,2021-10-03 15:28:56.311,djent,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
When Giants Collide,Codename 47,2021-10-03 15:32:05.185,none,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Hord,Subdued Voices,2021-10-03 15:37,cyber metal,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Ever Forthright,All Eyes On the Earth,2021-10-03 15:43:11.558,djent,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Nociceptor,Pornoholocaust,2021-10-03 15:49:06.013,djent,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Subversion,Treason,2021-10-03 15:53:08.212,none,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Goodthink,Colorblind,2021-10-03 15:59:05.297,instrumental djent,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
